codigo,tipo_imovel,logradouro,bairro,cidade,metragem,quartos,banheiros,vaga,andar,mobilia,aluguel,condominio,iptu,preco_total,numero,cep,longitude,latitude
893085878,apartamento,Rua Jaguarete, Casa Verde, São Paulo,56,2,2,1,9,Sem mobília,2080,579,125,2811,202,02515-010,-46.6565652,-23.510311
893085840,apartamento,Rua Jaguarete, Casa Verde, São Paulo,54,2,2,1,11,Sem mobília,2170,578,1250,4026,202,02515-010,-46.6565652,-23.510311
893085845,apartamento,Rua Jaguarete, Casa Verde, São Paulo,49,2,2,1,8,Sem mobília,2320,517,125,2992,202,02515-010,-46.6565652,-23.510311
893085857,apartamento,Rua Jaguarete, Casa Verde, São Paulo,56,2,2,1,10,Sem mobília,2170,579,125,2902,202,02515-010,-46.6565652,-23.510311
893085850,apartamento,Rua Jaguarete, Casa Verde, São Paulo,54,2,2,1,4,Sem mobília,2170,570,125,2893,202,02515-010,-46.6565652,-23.510311
893085869,apartamento,Rua Jaguarete, Casa Verde, São Paulo,49,2,1,1,5,Sem mobília,2150,517,125,2820,202,02515-010,-46.6565652,-23.510311
893083699,outro,Rua Caetano Desco, Casa Verde, São Paulo,46,2,1,,,Sem mobília,1400,0,0,1418,166,02523-080,-46.6563618,-23.5059269
892979073,apartamento,Rua Relíquia, Casa Verde, São Paulo,55,2,1,1,2,Sem mobília,1350,850,106,2324,758,02517-001,-46.6611985,-23.5059854
892963493,apartamento,Rua Joboatão, Casa Verde, São Paulo,63,2,1,2,4,Sem mobília,1800,580,114,2521,542,02516-010,-46.6589546,-23.506794
893057581,apartamento,Rua Jaguaretê, Casa Verde, São Paulo,73,3,2,1,4,Sem mobília,1600,682,250,2553,177,02515-010,-46.6564101,-23.510643
892857192,apartamento,Rua Professor Luciano Prata, Casa Verde, São Paulo,50,1,1,,3,Sem mobília,1300,150,60,1527,23,02510-020,-46.6527534,-23.5144357
893091382,apartamento,Rua Professor Luciano Prata, Casa Verde, São Paulo,60,1,1,,1,Sem mobília,1500,150,63,1733,23,00251-020,-46.6527511,-23.5142785
893083746,apartamento,Rua dos Americanos, Barra Funda, São Paulo,65,2,2,2,19,Sem mobília,3300,480,190,4012,185,01138-050,-46.6555486,-23.5253684
892937775,apartamento,Rua José Gomes Falcão, Barra Funda, São Paulo,160,4,3,2,2,Mobiliado,6000,1200,417,7694,304,01139-010,-46.6612552,-23.5210321
893039893,apartamento,Alameda Eduardo Prado, Bom Retiro, São Paulo,35,1,1,1,7,Mobiliado,1300,444,0,1761,150,01218-011,-46.6474341,-23.5292421
893082377,apartamento,Rua Doutor Sérgio Meira, Barra Funda, São Paulo,50,2,2,,16,Sem mobília,2340,650,92,3112,230,01153-010,-46.6563871,-23.5281028
893088975,apartamento,Rua Anhaia, Bom Retiro, São Paulo,36,1,1,,4,Sem mobília,2600,900,34,3567,871,01130-000,-46.6460582,-23.5228954
893038902,outro,Avenida Rio Branco, Bom Retiro, São Paulo,35,1,1,1,6,Mobiliado,1310,960,84,2371,1658,01206-001,-46.6468858,-23.5298842
893088345,apartamento,Rua Cônego Vicente Miguel Marino, Bom Retiro, São Paulo,33,2,1,,6,Sem mobília,1800,315,0,2138,161,01135-020,-46.6499103,-23.5271593
893084150,apartamento,Alameda Barão de Limeira, Bom Retiro, São Paulo,148,3,3,2,7,Mobiliado,3500,1375,142,5062,1440,01202-002,-46.6510135,-23.5296511
893090925,apartamento,Rua Doutor Gabriel dos Santos, Santa Cecília, São Paulo,96,2,2,,3,Mobiliado,3000,2780,209,6028,131,01231-011,-46.6581661,-23.5339079
893089064,apartamento,Rua Doutor Gabriel dos Santos, Santa Cecília, São Paulo,200,3,3,2,13,Sem mobília,5550,1553,459,7633,64,01231-011,-46.658251,-23.533244
893089830,apartamento,Rua das Perdizes, Barra Funda, São Paulo,81,2,1,,1,Sem mobília,1890,430,0,2344,76,01156-030,-46.6621254,-23.5314963
893087942,apartamento,Avenida General Olímpio da Silveira, Santa Cecília, São Paulo,113,2,2,,,Sem mobília,3000,500,0,3539,33,01150-001,-46.6570369,-23.5331962
892827338,apartamento,Rua Conselheiro Brotero, Barra Funda, São Paulo,71,2,2,1,3,Mobiliado,3194,800,112,4130,528,01154-000,-46.6585775,-23.5312422
892936812,apartamento,Rua Tupi, Santa Cecília, São Paulo,47,1,1,1,7,Mobiliado,2500,810,92,3420,383,01233-000,-46.6613288,-23.5351177
893079356,apartamento,Rua Doutor Gabriel dos Santos, Santa Cecília, São Paulo,98,3,2,2,3,Sem mobília,3000,1590,325,4954,179,01231-011,-46.6585441,-23.5342643
893086697,outro,Rua Olímpia de Almeida Prado, Barra Funda, São Paulo,34,1,1,,15,Mobiliado,2450,475,100,3057,27,01151-010,-46.6576961,-23.5318405
893090143,apartamento,Avenida Francisco Matarazzo, Perdizes, São Paulo,66,2,1,,6,Sem mobília,1970,0,0,1995,,,,
893090470,apartamento,Rua Minerva, Perdizes, São Paulo,85,2,2,1,7,Mobiliado,4900,1153,53,6169,149,05007-030,-46.6725322,-23.5336781
893087805,apartamento,Rua Doutor Alfredo de Castro, Barra Funda, São Paulo,60,2,1,1,2,Sem mobília,2700,640,138,3513,112,01155-060,-46.6642343,-23.5288762
893085606,apartamento,Avenida Thomas Edison, Barra Funda, São Paulo,69,2,2,1,3,Sem mobília,3800,370,0,4219,934,01140-000,-46.6690357,-23.5187611
893088646,apartamento,Rua Itapicuru, Perdizes, São Paulo,120,3,2,2,11,Sem mobília,4150,900,384,5487,380,05006-000,-46.6675828,-23.5352464
893084434,apartamento,Rua Tagipuru, Barra Funda, São Paulo,270,4,4,6,13,Sem mobília,6000,3000,917,9994,127,01156-000,-46.6640974,-23.5304642
893086836,apartamento,Rua Conselheiro Brotero, Barra Funda, São Paulo,80,3,1,,1,Sem mobília,2320,0,121,2471,348,01229-000,-46.6572271,-23.5299336
893085254,outro,Avenida General Olímpio da Silveira, Barra Funda, São Paulo,50,1,1,,12,Mobiliado,1100,435,0,1549,196,01150-001,-46.6582673,-23.5320716
893088708,outro,Rua das Palmeiras, Santa Cecília, São Paulo,33,1,1,,5,Mobiliado,2200,670,0,2898,410,01226-011,-46.6525666,-23.5361964
892967903,apartamento,Rua Cardoso de Almeida, Perdizes, São Paulo,220,3,3,3,13,Sem mobília,5200,2900,633,8804,650,05013-000,-46.6674711,-23.5366607
892832346,apartamento,Rua Turiassú, Perdizes, São Paulo,84,2,3,2,14,Mobiliado,4900,920,292,6175,507,05005-001,-46.668047,-23.5333734
893072327,apartamento,Rua Adalberto Kemeny, Barra Funda, São Paulo,70,1,2,,19,Mobiliado,3500,900,25,4470,82,01139-050,-46.675909,-23.5200236
892980233,apartamento,Avenida Marquês de São Vicente, Barra Funda, São Paulo,70,2,2,2,24,Mobiliado,3700,800,50,4597,2898,05036-040,-46.6751177,-23.5191501
893072435,apartamento,Rua Joseph Nigri, Água Branca, São Paulo,58,1,2,1,20,Sem mobília,4180,800,167,5200,147,05036-180,-46.6803806,-23.518583
893091169,apartamento,Rua Joaquim Ferreira, Água Branca, São Paulo,77,3,2,2,,Mobiliado,4010,700,184,4945,55,05033-080,-46.684109,-23.5235153
893089619,apartamento,Avenida Marquês de São Vicente, Água Branca, São Paulo,100,3,3,2,15,Sem mobília,5000,1000,300,6364,2914,05036-040,-46.6880954,-23.5153202
893025392,apartamento,Avenida Professor Celestino Bourroul, Casa Verde, São Paulo,58,2,2,1,5,Sem mobília,2233,367,0,2623,684,02710-900,-46.673688,-23.5075977
893090896,apartamento,Avenida Professora Ida Kolb, Casa Verde, São Paulo,100,3,2,1,2,Sem mobília,2080,1000,63,3170,225,02508-910,-46.6638487,-23.5097784
893084901,apartamento,Rua Joseph Nigri, Água Branca, São Paulo,60,2,2,1,10,Sem mobília,3570,734,146,4496,147,05036-040,-46.6803806,-23.518583
893090619,apartamento,Rua Atílio Piffer, Casa Verde, São Paulo,115,3,2,2,23,Mobiliado,5500,900,267,6737,120,02516-000,-46.6603498,-23.5137172
893084443,apartamento,Avenida Thomás Edison, Barra Funda, São Paulo,100,3,3,2,14,Sem mobília,5000,650,35,5749,934,01140-001,-46.6690357,-23.5187611
893076308,casa,Rua Zanzibar, Casa Verde, São Paulo,260,4,5,3,,Sem mobília,5000,0,50,5133,1022,02512-010,-46.6630705,-23.5134969
892994744,apartamento,Rua Visconde Taunay, Bom Retiro, São Paulo,96,2,1,,2,Sem mobília,1600,50,99,1770,396,01132-000,-46.6484722,-23.5236716
893075532,apartamento,Rua Cônego Vicente Miguel Marino, Bom Retiro, São Paulo,34,1,1,,11,Mobiliado,2000,300,0,2326,59,01135-020,-46.6491006,-23.5271578
893090431,apartamento,Rua Atílio Piffer, Casa Verde, São Paulo,62,2,2,,5,Sem mobília,3000,654,134,3827,120,02516-000,-46.6603498,-23.5137172
893080036,apartamento,Rua Doutor Alfredo de Castro, Barra Funda, São Paulo,64,2,2,2,21,Sem mobília,2850,715,113,3715,,,,
893086283,apartamento,Avenida Ordem E Progresso, Casa Verde, São Paulo,84,3,2,2,2,Sem mobília,1970,621,15,2631,1190,02518-130,-46.6654794,-23.5105444
893045786,apartamento,Rua Desembargador Guimarães, Perdizes, São Paulo,176,3,5,4,3,Sem mobília,6390,1700,1167,9338,75,05002-050,-46.6740174,-23.5299272
893053957,apartamento,Rua Torres da Barra, Água Branca, São Paulo,71,2,2,1,18,Sem mobília,2730,470,0,3235,75,05036-040,-46.6868657,-23.5153558
893087378,apartamento,Rua Francisco Luiz de Souza Júnior, Água Branca, São Paulo,45,2,1,1,16,Sem mobília,2200,350,52,2630,328,05037-001,-46.6880648,-23.5136354
893087293,apartamento,Rua Torres da Barra, Água Branca, São Paulo,31,1,1,,3,Sem mobília,1800,295,0,2118,207,05037-055,-46.686957,-23.5140863
893082788,apartamento,Avenida General Olímpio da Silveira, Barra Funda, São Paulo,57,2,1,,6,Sem mobília,1890,499,0,2413,166,01150-000,-46.6579925,-23.5321825
893089419,apartamento,Rua São Vicente de Paulo, Santa Cecília, São Paulo,95,2,2,1,3,Mobiliado,3450,780,164,4438,650,01229-010,-46.6571077,-23.5400841
893084963,apartamento,Rua Adolfo Gordo, Bom Retiro, São Paulo,43,1,1,1,2,Sem mobília,1650,687,0,2358,100,01217-020,-46.6493784,-23.5333959
892956935,apartamento,Rua Doutor Carvalho de Mendonça, Bom Retiro, São Paulo,32,1,1,1,2,Mobiliado,2028,370,0,2424,251,01201-010,-46.6518296,-23.5341724
892778057,apartamento,Rua Martim Francisco, Santa Cecília, São Paulo,50,2,2,1,11,Mobiliado,2990,739,54,3803,67,01226-001,-46.6512193,-23.5382762
893080730,apartamento,Rua Doutor Sérgio Meira, Barra Funda, São Paulo,53,2,1,1,9,Mobiliado,2500,600,0,3132,230,01153-010,-46.6563871,-23.5281028
893090291,outro,Avenida Brigadeiro Luís Antônio, Bela Vista, São Paulo,40,1,1,,16,Mobiliado,2950,615,0,3603,339,01317-000,-46.6377426,-23.5538099
892959411,apartamento,R. Humaitá, Bela Vista, São Paulo,47,1,1,,12,Mobiliado,1621,335,0,1976,571,01321-010,-46.6420164,-23.5563628
893002157,outro,Rua Genebra, Bela Vista, São Paulo,25,1,1,,4,Mobiliado,2622,270,67,2993,296,01316-010,-46.6397973,-23.5535635
892816635,outro,Rua Major Quedinho, Consolação, São Paulo,49,1,2,1,14,Mobiliado,3000,600,0,3639,224,01050-030,-46.6437583,-23.5496911
893090391,apartamento,Rua Santo Antônio, Bela Vista, São Paulo,53,1,2,1,4,Sem mobília,2850,870,123,3880,722,01314-000,-46.6453382,-23.5516071
893087445,outro,Rua Asdrúbal do Nascimento, Bela Vista, São Paulo,45,1,1,1,9,Sem mobília,1460,700,0,2179,108,01316-030,-46.6384416,-23.5504745
893072626,casa,Rua Doutor Ricardo Batista, Bela Vista, São Paulo,220,3,2,1,,Sem mobília,4840,0,71,4992,44,01326-040,-46.6437836,-23.5519273
893089794,outro,Avenida Nove de Julho, Consolação, São Paulo,43,1,1,,12,Sem mobília,2040,281,12,2359,656,01407-100,-46.6447512,-23.5505195
893086433,apartamento,Rua João Passalaqua, Bela Vista, São Paulo,12,1,1,1,8,Sem mobília,1400,480,0,1898,140,01326-020,-46.6460127,-23.5540741
893089505,outro,Rua Frei Caneca, Consolação, São Paulo,32,1,1,1,1,Mobiliado,2670,689,0,3393,277,01307-001,-46.6500833,-23.5522763
893080792,apartamento,Rua Itararé, Consolação, São Paulo,34,1,1,1,8,Mobiliado,2300,548,10,2888,96,01308-030,-46.653335,-23.5545516
893090058,casa,Rua Avanhandava, Consolação, São Paulo,528,4,5,8,,Sem mobília,9140,0,1559,10850,568,01306-000,-46.6490247,-23.5524518
893090188,apartamento,Rua Dona Antônia de Queirós, Consolação, São Paulo,36,1,1,1,4,Sem mobília,2200,524,125,2877,88,01307-011,-46.6522771,-23.5523962
893090209,apartamento,Rua Barata Ribeiro, Consolação, São Paulo,36,1,1,1,10,Mobiliado,1900,1070,250,3245,205,01308-000,-46.6523556,-23.5564854
893090217,outro,Rua Barata Ribeiro, Consolação, São Paulo,36,1,1,1,10,Mobiliado,1900,1070,250,3245,205,01308-000,-46.6523556,-23.5564854
893061027,apartamento,Avenida Nove de Julho, Consolação, São Paulo,78,1,1,,1,Sem mobília,1990,330,0,2346,1030,01312-000,-46.6478675,-23.5525141
893090184,apartamento,Rua Conselheiro Ramalho, Bela Vista, São Paulo,48,1,1,,11,Sem mobília,3000,400,0,3439,701,01325-001,-46.6440671,-23.5579814
892802016,apartamento,Rua Conde São Joaquim, Bela Vista, São Paulo,37,1,1,,1,Mobiliado,1397,480,0,1887,392,01320-010,-46.640072,-23.5591256
893088618,apartamento,R. Monsenhor Passaláqua, Bela Vista, São Paulo,38,1,1,1,2,Mobiliado,3000,540,50,3629,212,01323-010,-46.6421878,-23.5602344
893090219,apartamento,Rua Conselheiro Ramalho, Bela Vista, São Paulo,45,1,1,,7,Sem mobília,1590,430,0,2041,748,01325-001,-46.644407,-23.5585015
892958861,apartamento,Rua Maria José, Bela Vista, São Paulo,65,2,1,1,2,Sem mobília,1821,440,274,2548,,,,
893084930,outro,Rua Genebra, Bela Vista, São Paulo,25,1,1,1,16,Mobiliado,2480,450,30,2992,296,01316-010,-46.6397973,-23.5535635
893086233,apartamento,Praça Carlos Gomes, Liberdade, São Paulo,78,1,1,,2,Sem mobília,1760,0,100,1883,83,01501-010,-46.6355131,-23.5533365
892828701,outro,Avenida Brigadeiro Luis Antonio, Bela Vista, São Paulo,40,1,1,1,16,Mobiliado,3100,620,100,3860,323,01317-000,-46.6379902,-23.5535415
893047213,outro,Rua Major Diogo, Bela Vista, São Paulo,36,1,1,1,7,Mobiliado,2220,505,55,2809,115,01324-001,-46.643237,-23.5521993
893090502,apartamento,Avenida Paulista, Bela Vista, São Paulo,80,2,3,1,9,Mobiliado,9000,630,160,9905,648,01311-000,-46.6492416,-23.5671314
893090300,casa,Avenida Paulista 900, Bela Vista, São Paulo,50,2,2,,,Sem mobília,3370,0,417,3843,007,01311-000,-46.651121,-23.565104
892841549,apartamento,Rua Carlos Sampaio, Bela Vista, São Paulo,110,2,3,1,4,Mobiliado,4300,2300,350,7005,157,01333-021,-46.6459999,-23.5674014
892902497,apartamento,Rua Almirante Marques Leão, Bela Vista, São Paulo,38,1,1,1,3,Mobiliado,2610,535,0,3179,656,01330-010,-46.6492715,-23.5624658
893089289,apartamento,Rua Treze de Maio, Bela Vista, São Paulo,118,3,2,1,7,Sem mobília,3700,1220,106,5073,1838,01327-000,-46.6440918,-23.5693389
893066806,apartamento,Rua dos Franceses, Bela Vista, São Paulo,150,3,4,3,21,Sem mobília,4210,1100,192,5556,470,01329-010,-46.6478038,-23.5625162
893088057,apartamento,Rua Artur Prado, Bela Vista, São Paulo,110,3,3,,2,Sem mobília,3000,1550,459,5048,449,01322-000,-46.6434232,-23.5644075
893084992,apartamento,Rua São Carlos do Pinhal, Bela Vista, São Paulo,200,3,2,1,2,Sem mobília,3710,1800,25,5583,290,01333-907,-46.6502513,-23.5645495
892765412,apartamento,Rua Pamplona, Bela Vista, São Paulo,46,1,1,1,8,Mobiliado,2900,750,96,3783,95,01405-001,-46.651557,-23.55968
893087432,outro,Rua Itapeva, Bela Vista, São Paulo,45,1,1,,3,Sem mobília,2000,700,0,2726,168,01332-000,-46.6510929,-23.5583286
893064120,apartamento,Rua Pamplona, Bela Vista, São Paulo,40,1,1,1,23,Sem mobília,2290,1530,239,4089,83,01332-010,-46.6514126,-23.5594235
893089777,apartamento,Rua Doutor Seng, Bela Vista, São Paulo,45,1,1,,1,Mobiliado,2600,715,73,3421,315,01331-020,-46.6508091,-23.5616247
892765220,apartamento,Rua Itapeva, Bela Vista, São Paulo,60,2,1,1,17,Mobiliado,2950,950,123,4061,220,01332-000,-46.6515022,-23.5586326
893087273,casa,Rua dos Franceses, Bela Vista, São Paulo,330,5,3,4,,Sem mobília,7800,0,397,8326,20,01329-010,-46.6475082,-23.5583095
893085648,apartamento,Rua Doutor Plínio Barreto, Bela Vista, São Paulo,110,3,2,,1,Mobiliado,4500,1100,100,5758,249,01313-904,-46.6516302,-23.5577489
893088861,apartamento,Avenida Paulista, Bela Vista, São Paulo,45,1,1,,7,Sem mobília,1800,2000,68,3891,1274,01311-000,-46.6539345,-23.5633573
893086930,apartamento,Rua Rabelo da Cruz, Vila Gustavo, São Paulo,64,2,1,1,1,Sem mobília,1360,650,0,2028,111,02255-000,-46.592877,-23.4759017
892977383,casa,Rua Cristóvao Bezerra Dantas, Vila Constança , São Paulo,80,2,1,,,Sem mobília,1018,0,60,1091,325,02270-010,-46.5945659,-23.4719956
893087497,apartamento,Avenida Jaçanã, Vila Constança , São Paulo,68,2,2,1,14,Sem mobília,1750,618,37,2428,764,02273-001,-46.585427,-23.4657025
893085933,casa,Avenida Mazzei, Vila Mazzei, São Paulo,110,3,2,2,,Sem mobília,3433,0,67,3557,1559,02310-002,-46.5974718,-23.4690729
893077681,casa,Rua Pixibás, Vila Gustavo, São Paulo,50,1,1,,,Sem mobília,1040,0,0,1058,19,02267-060,-46.5980297,-23.4778485
893088555,apartamento,Rua São Nestor, Vila Mazzei, São Paulo,65,2,2,1,6,Sem mobília,1280,419,0,1716,33,02308-205,-46.6030947,-23.4730298
893090817,apartamento,Avenida Júlio Buono, Vila Gustavo, São Paulo,60,2,2,1,14,Sem mobília,2750,500,117,3402,1849,02201-000,-46.5911855,-23.4838226
893091013,apartamento,Avenida Mazzei, Vila Mazzei, São Paulo,67,2,2,1,12,Sem mobília,2500,740,75,3347,530,02310-000,-46.6036969,-23.4766177
893087897,apartamento,Rua Areia do Rosário, Vila Constança , São Paulo,45,2,1,,9,Sem mobília,1200,350,0,1566,449,02261-060,-46.5763286,-23.4686509
893085315,outro,Rua das Gamboas, Vila Mazzei, São Paulo,40,1,1,,,Sem mobília,600,0,59,667,451,02311-100,-46.5990617,-23.4675997
893088106,apartamento,Rua Teixeira da Silva, Paraíso, São Paulo,120,2,1,1,7,Mobiliado,3320,900,209,4472,333,04002-031,-46.6477333,-23.5710868
893087570,apartamento,Rua Martiniano de Carvalho, Bela Vista, São Paulo,65,2,2,1,16,Mobiliado,2950,850,125,3963,669,01321-001,-46.6421743,-23.5646347
893090826,apartamento,Rua Manuel da Nóbrega, Paraíso, São Paulo,160,4,3,1,4,Sem mobília,5610,2035,375,8092,518,04001-001,-46.651831,-23.5717799
893041361,apartamento,Rua Otávio Nébias, Paraíso, São Paulo,210,4,4,4,4,Sem mobília,10500,2857,1480,14970,98,04002-010,-46.6511874,-23.5727957
892949970,outro,Rua Martins Fontes, Consolação, São Paulo,32,1,1,,5,Mobiliado,2292,330,0,2652,268,01050-000,-46.6450585,-23.5494364
892814223,apartamento,R. Caio Prado - Consolação, São Paulo - Sp, Brazil,59,2,1,,7,Mobiliado,5000,600,184,5848,,,,
893082328,apartamento,Rua Dona Antônia de Queirós, Consolação, São Paulo,70,1,1,1,1,Sem mobília,2070,1170,100,3367,43,01307-013,-46.6523327,-23.5528306
893089532,outro,Rua Santa Madalena, Bela Vista, São Paulo,29,1,1,1,9,Mobiliado,3100,450,0,3590,72,01322-020,-46.6416373,-23.5633838
893090517,outro,Rua da Glória, Liberdade, São Paulo,28,1,1,,10,Mobiliado,1800,250,20,2093,153,01510-001,-46.6342277,-23.5546799
893089785,outro,Rua São Francisco, Centro, São Paulo,25,1,1,,12,Sem mobília,1460,340,17,1836,98,01005-020,-46.6382768,-23.5487531
893084341,apartamento,Avenida Nove de Julho, Bela Vista, São Paulo,60,1,1,,1,Sem mobília,1451,460,44,1974,337,01313-000,-46.6417328,-23.5496483
893088238,apartamento,Rua Caio Prado, Consolação, São Paulo,45,1,1,1,7,Sem mobília,1680,565,88,2355,247,01303-001,-46.6480393,-23.5500118
892785271,outro,Rua Otávio Tarquínio de Souza, Campo Belo, São Paulo,30,1,1,1,4,Mobiliado,1551,770,0,2341,160,04613-000,-46.6634083,-23.6201026
893090297,apartamento,Avenida dos Imarés, Moema, São Paulo,55,2,2,2,3,Sem mobília,3700,896,285,4928,317,04085-000,-46.6661396,-23.6121219
893078807,apartamento,Alameda dos Anapurus, Moema, São Paulo,204,3,4,3,15,Sem mobília,7030,2400,917,10440,1440,04087-005,-46.6618183,-23.6110926
